File Name,Original Size (bytes),Compressed Size (bytes)
dailymail_2460.txt,7298,3046
dailymail_2462.txt,14902,6288
dailymail_2464.txt,4338,1929
dailymail_2466.txt,8157,2879
dailymail_2468.txt,5645,2498
dailymail_2470.txt,4880,2074
dailymail_2472.txt,11719,4653
dailymail_2474.txt,15177,6269
dailymail_2476.txt,6838,3051
dailymail_2478.txt,5061,2391
dailymail_248.txt,2557,1222
dailymail_2480.txt,9272,4345
dailymail_2482.txt,10677,4783
dailymail_2484.txt,8899,3824
dailymail_2486.txt,5664,2438
dailymail_2488.txt,6731,2638
dailymail_2490.txt,6731,2638
dailymail_2492.txt,10748,3723
dailymail_2494.txt,6883,2671
dailymail_2496.txt,4687,2081
dailymail_2498.txt,4687,2081
dailymail_250.txt,10988,4620
dailymail_2500.txt,8201,3483
dailymail_2502.txt,3745,1591
dailymail_2504.txt,2912,1373
dailymail_2506.txt,3359,1727
dailymail_2508.txt,5020,1916
dailymail_2510.txt,9271,3474
dailymail_2512.txt,4289,2084
dailymail_2514.txt,4592,2026
dailymail_2516.txt,4252,1726
dailymail_2518.txt,4308,2022
dailymail_2520.txt,4160,2192
dailymail_2522.txt,10113,2925
dailymail_2524.txt,10113,2925
dailymail_2526.txt,8991,3639
dailymail_2528.txt,7464,3096
dailymail_2530.txt,7804,3536
dailymail_2532.txt,5469,2585
dailymail_2534.txt,5875,2835
dailymail_2536.txt,8841,3927
dailymail_2538.txt,8675,3383
dailymail_254.txt,2600,1305
dailymail_2540.txt,11798,4875
dailymail_2542.txt,5165,2016
dailymail_2544.txt,3136,1381
dailymail_2546.txt,5698,2519
dailymail_2548.txt,3615,1416
dailymail_2550.txt,4323,1834
dailymail_2552.txt,3467,1545
dailymail_2554.txt,7339,3096
dailymail_2556.txt,12238,4772
dailymail_2558.txt,3745,1763
dailymail_2560.txt,5991,2635
dailymail_2562.txt,7836,3744
dailymail_2564.txt,7312,3111
dailymail_2566.txt,8905,3688
dailymail_2568.txt,3813,1827
dailymail_2570.txt,2920,1330
dailymail_2572.txt,2920,1330
dailymail_2574.txt,3453,1738
dailymail_2576.txt,2796,1395
dailymail_2578.txt,3305,1574
dailymail_258.txt,7131,3084
dailymail_2580.txt,3043,1492
dailymail_2582.txt,4298,1897
dailymail_2584.txt,4646,2000
dailymail_2586.txt,3125,1479
dailymail_2588.txt,5401,2696
dailymail_2590.txt,5113,2349
dailymail_2592.txt,4520,2028
dailymail_2594.txt,5156,2504
dailymail_2596.txt,18793,6906
dailymail_2598.txt,5035,2207
dailymail_26.txt,3283,1631
dailymail_260.txt,7131,3084
dailymail_2600.txt,10435,4283
dailymail_2602.txt,2249,1070
dailymail_2604.txt,4678,2079
dailymail_2606.txt,4678,2079
dailymail_2608.txt,6400,2943
dailymail_2610.txt,4085,1910
dailymail_2612.txt,4085,1910
dailymail_2614.txt,9091,3713
dailymail_2616.txt,3865,1703
dailymail_2618.txt,8073,3226
dailymail_262.txt,2592,1179
dailymail_2620.txt,11072,4418
dailymail_2622.txt,6485,2751
dailymail_2624.txt,6485,2751
dailymail_2626.txt,4576,2111
dailymail_2628.txt,4687,1989
dailymail_2630.txt,4731,1980
dailymail_2632.txt,5425,2056
dailymail_2634.txt,3086,1462
dailymail_2636.txt,5689,2459
dailymail_2638.txt,7804,3407
dailymail_264.txt,10219,4269
dailymail_2640.txt,19198,6885
dailymail_2642.txt,19198,6885
dailymail_2644.txt,4246,1966
dailymail_2646.txt,2991,1387
dailymail_2648.txt,8851,2932
